id_film,production_countries,spoken_languages
385687,United States of America,"['English', 'Spanish']"
603692,Germany,"['Arabic', 'Cantonese', 'English', 'French', 'German', 'Japanese', 'Latin', 'Russian', 'Spanish']"
502356,Japan,['English']
569094,United States of America,"['English', 'Hindi', 'Italian', 'Spanish']"
536437,United Kingdom,"['English', 'Spanish']"
667538,United States of America,"['Quechua', 'Spanish', 'English']"
890771,United States of America,"['English', 'Spanish']"
447277,United States of America,['English']
76600,United States of America,['English']
713704,Ireland,['English']
1018494,United States of America,['English']
447365,United States of America,['English']
1010581,Spain,['Spanish']
640146,United States of America,['English']
840326,Finland,"['English', 'Finnish']"
879444,United Kingdom,"['Spanish', 'English']"
758323,United States of America,"['English', 'Fulah', 'German', 'Italian', 'Latin', 'Portuguese', 'Spanish']"
1073140,NO_COUNTRY,['English']
1107872,Poland,"['English', 'Polish', 'Russian']"
1098110,Germany,['German']
799379,South Korea,"['Korean', 'English', 'Japanese']"
605886,United States of America,['English']
882569,United Kingdom,"['English', 'Persian']"
1115710,NO_COUNTRY,['English']
324857,United States of America,"['English', 'Japanese', 'Spanish']"
594767,United States of America,['English']
677179,United States of America,"['English', 'Spanish']"
1077321,NO_COUNTRY,
1074178,NO_COUNTRY,"['Cantonese', 'Mandarin']"
620705,United States of America,['English']
1070777,United States of America,"['English', 'Italian']"
552688,United States of America,"['English', 'Spanish']"
315162,United States of America,"['English', 'Spanish']"
1105803,United States of America,"['Spanish', 'English']"
842675,China,"['Russian', 'French', 'Mandarin', 'Portuguese', 'Japanese', 'Spanish', 'English']"
893712,Japan,['Japanese']
931102,China,"['Cantonese', 'English', 'Mandarin']"
298618,United States of America,"['English', 'Spanish', 'Russian']"
976912,United Kingdom,['English']
934433,United States of America,['English']
868759,United States of America,['English']
943930,Spain,['Spanish']
420808,Canada,['English']
981324,United Kingdom,['English']
1094319,NO_COUNTRY,['English']
1074034,NO_COUNTRY,['English']
634649,United States of America,"['English', 'Tagalog']"
1064517,Chile,['Spanish']
1118203,United States of America,['German']
91314,United States of America,"['Mandarin', 'English']"
505642,United States of America,"['English', 'French', 'Haitian; Haitian Creole', 'Spanish', 'Xhosa']"
436270,United States of America,['English']
916224,Japan,"['English', 'Japanese']"
493529,Canada,['English']
977866,Cyprus,['English']
948713,United Kingdom,['English']
638974,United States of America,['English']
1098160,Australia,['English']
8869,Australia,['English']
977223,United Kingdom,"['English', 'Portuguese']"
816904,Spain,['English']
1102776,France,['French']
1109207,United States of America,['English']
649609,United States of America,"['English', 'Thai']"
335988,United States of America,['English']
1020696,NO_COUNTRY,['English']
1014501,Canada,['English']
1094403,United States of America,"['English', 'Spanish']"
736790,Mexico,"['English', 'Spanish']"
702621,Canada,['English']
804150,United States of America,"['English', 'Portuguese']"
507250,United Kingdom,"['English', 'Portuguese']"
995012,United States of America,['English']
1016121,United States of America,"['French', 'English']"
1037644,NO_COUNTRY,['English']
1121116,United States of America,['English']
536554,United States of America,['English']
1033219,United States of America,['English']
25565,United States of America,['English']
914827,United States of America,['English']
980078,United Kingdom,['English']
646389,United Kingdom,"['English', 'Turkish']"
19995,United States of America,"['English', 'Spanish']"
976573,United States of America,['English']
911916,United States of America,['English']
10144,United States of America,"['English', 'French']"
700391,Canada,['English']
985939,United States of America,['English']
809787,United Kingdom,"['English', 'Italian']"
727340,South Korea,"['Japanese', 'English', 'Portuguese', 'Korean']"
946310,Netherlands,['Dutch']
1126852,Brazil,['Portuguese']
1008005,Spain,['Spanish']
876969,Italy,"['English', 'Spanish', 'Portuguese']"
663712,United States of America,['English']
785759,United States of America,['English']
997776,United States of America,['English']
507086,United States of America,['English']
675353,Japan,['English']
631842,United States of America,['English']
361743,United States of America,['English']
1041513,United States of America,['English']
876792,Japan,['Japanese']
616037,United States of America,['English']
803700,Belgium,"['Nepali', 'English', 'Italian']"
758009,United States of America,['English']
785084,United States of America,['English']
283995,United States of America,['English']
668482,United Kingdom,['English']
697843,United States of America,"['English', 'German', 'Georgian', 'French']"
962682,Brazil,['Portuguese']
1119173,Denmark,"['English', 'Danish']"
724495,Canada,"['English', 'Portuguese']"
842945,United States of America,"['English', 'Spanish']"
296271,Czech Republic,"['Italian', 'English']"
943788,United States of America,['English']
960081,Australia,['English']
869626,United States of America,"['English', 'Portuguese', 'Spanish']"
381284,United States of America,['English']
943822,United Kingdom,['English']
1003579,United States of America,['English']
453395,United States of America,"['Cantonese', 'English', 'Spanish']"
1127227,Philippines,['Tagalog']
568124,United States of America,"['English', 'Spanish']"
508947,United States of America,"['Cantonese', 'Mandarin', 'Korean', 'French', 'English']"
414906,United States of America,['English']
766507,United States of America,"['English', 'French']"
411,United Kingdom,"['English', 'German']"
1111140,United States of America,['English']
299536,United States of America,"['English', 'Xhosa']"
585511,Spain,['English']
776835,Australia,['English']
966220,Ukraine,"['Russian', 'Spanish', 'Ukrainian']"
1129692,United States of America,"['English', 'French']"
758336,United States of America,['English']
325358,United States of America,"['English', 'Italian']"
579884,Russia,['Russian']
635302,Japan,['Japanese']
744276,United States of America,['English']
